Word,IMG,NoF,freqQ,BG_Freq_By_Pos,Length,CNC,Sem_N,cognate,Order,Ortho_N,NoS,Phono_N,Richness,ITI,LgSUBTLWF,Corr,FAM,Animate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,expName,frameRate,ParticipantID,
pig,635,22,5,522,3,614,2080,n,42,12,9,20,H,3.49,3.3,left,509,B,0,41,41,41,,,left,1,0.61821603775,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
accordion,576,9,1,2051,9,586,1277,y,43,0,1,0,L,0.25,1.833,down,394,A,0,42,42,42,,,down,1,0.668093919754,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pot,598,10,5,660,3,584,2109,n,44,17,10,30,H,1.35,2.829,down,577,A,0,43,43,43,,,down,1,0.634740114212,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
medal,529,14,1,903,5,571,2429,y,45,3,1,12,L,1.1,2.009,down,494,A,0,44,44,44,,,down,1,0.818550109863,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
camel,561,15,4,1493,5,597,1633,y,46,1,1,6,L,1.48,2.716,left,421,B,0,45,45,45,,,left,1,1.18735694885,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pillow,624,13,4,1550,6,613,1512,n,47,2,2,6,L,1.21,2.765,down,602,A,0,46,46,46,,,down,1,0.751667976379,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
pear,590,13,4,1647,4,634,1033,y,48,16,2,32,L,2.98,2.654,left,567,B,0,47,47,47,,,left,1,0.651635885239,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
birch,561,10,1,915,5,620,1697,n,49,2,5,21,H,1.74,1.903,left,518,B,0,48,48,48,,,left,1,0.669435977936,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
harp,621,8,1,1500,4,591,1614,y,50,6,5,8,H,2.23,2.107,down,430,A,0,49,49,49,,,down,1,0.668802976608,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
rabbit,611,14,5,937,6,635,2171,n,51,0,4,2,H,1.47,3.029,left,523,B,0,50,50,50,,,left,1,0.853728055954,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
blouse,595,15,3,1127,6,640,651,y,52,0,1,3,L,2.53,2.283,down,562,A,0,51,51,51,,,down,1,0.770899772644,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
sleigh,608,9,2,704,6,613,1173,n,53,0,2,13,L,0.88,2.225,down,531,A,0,52,52,52,,,down,1,1.40384793282,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
eagle,601,17,1,778,5,616,2513,y,54,0,5,5,H,3.45,1.851,left,465,B,0,53,53,53,,,left,1,0.821009159088,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
sardine,592,11,2,3170,7,606,456,y,55,0,4,0,H,2.62,2.182,left,446,B,0,54,54,54,,,left,1,0.66864991188,2018_Mar_20_2101,LexicalDecision,60.0448944065,99999999,
