trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
20,0,20,0,77.27617280300183,None,76.89182521999464,None,left,0.2947853380028391,76.89182521999464,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
21,0,21,0,78.64288779899653,None,78.30944800800353,None,left,0.23792654900171328,78.30944800800353,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
22,0,22,0,80.04248261099565,None,79.67553158299415,None,left,0.2707409010035917,79.67553158299415,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
23,0,23,0,81.45879514199623,None,81.07561774400529,None,left,0.28062997000233736,81.07561774400529,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
24,0,24,0,82.8764764219959,None,82.47623682400445,None,left,0.30380267900181934,82.47623682400445,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
25,0,25,0,84.259475785002,None,83.90963985399867,None,left,0.28142417600611225,83.90963985399867,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
26,0,26,0,85.65954197499377,None,85.29255066199403,None,left,0.29135417100042105,85.29255066199403,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
27,0,27,0,87.093243987998,None,86.69335538400628,None,left,0.2994575100019574,86.69335538400628,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
28,0,28,0,88.54324434000591,None,88.12622625900258,None,left,0.3034163760021329,88.12622625900258,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
29,0,29,0,89.97648334500263,None,89.57695560700085,None,left,0.3015608559944667,89.57695560700085,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
30,0,30,0,91.36030366299383,None,90.99435395200271,None,left,0.27307646100234706,90.99435395200271,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
31,0,31,0,92.87638133199653,None,92.3937743800052,None,left,0.39047468900389504,92.3937743800052,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
32,0,32,0,94.24335546500515,None,93.91009597700031,None,left,0.26909296899975743,93.91009597700031,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
33,0,33,0,95.79344236500037,None,95.29367082400131,None,left,0.40940961700107437,95.29367082400131,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
34,0,34,0,97.19341232899751,None,96.8267532739992,None,left,0.2682449320127489,96.8267532739992,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
35,0,35,0,98.62711654500163,None,98.22737086200505,None,left,0.32463037499110214,98.22737086200505,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
36,0,36,0,100.060222746004,None,99.66077264299383,None,left,0.32404363800014835,99.66077264299383,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
37,0,37,0,101.49359946500044,None,101.0939231920056,None,left,0.32373831800941844,101.0939231920056,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
38,0,38,0,102.79396189500403,None,102.52720197099552,None,left,0.18338208600471262,102.52720197099552,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
39,0,39,0,107.29568315799406,None,103.82765367199318,None,left,3.396859136002604,103.82765367199318,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
40,0,40,0,108.72774757500156,None,108.34478837999632,None,left,0.2945371590030845,108.34478837999632,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
41,0,41,0,110.11167009999917,None,109.74530909399618,None,left,0.268920126996818,109.74530909399618,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
42,0,42,0,111.31179065800097,None,111.14431041899661,None,left,0.09997357901011128,111.14431041899661,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
43,0,43,0,112.67856708400359,None,112.34496182299335,None,left,0.25405960601347033,112.34496182299335,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
44,0,44,0,113.99493907799479,None,113.71109398499539,None,left,0.18585018900921568,113.71109398499539,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
45,0,45,0,115.36216566999792,None,115.02827418899687,None,left,0.2545633120025741,115.02827418899687,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
46,0,46,0,116.76207672100281,None,116.39495977699698,None,left,0.29688925499795005,116.39495977699698,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
47,0,47,0,118.12881673399534,None,117.79553530199337,None,left,0.23908803300582804,117.79553530199337,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
48,0,48,0,119.52868688499439,None,119.16212449599698,None,left,0.2665051060030237,119.16212449599698,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
49,0,49,0,121.01211400900502,None,120.54657546100498,None,left,0.38783751799201127,120.54657546100498,None,MacHarddrive,001,2020_Aug_19_1511,ResponseTimeTest,3.1.0,60.119356881122,
